TRACE_Architecture_Final_Complete
Name;Location;Author;About;Year;Style Tags;Interesting Fact;Designer Note;Clue / Hint;Latitude;Longitude;Route;IMG
ROM (The Crystal);100 Queens Park;Daniel Libeskind;A deconstructivist explosion of glass and aluminum that shards through the museum's original stone walls.;2007;Deconstructivist, Angular, Bold;The design was famously first sketched by Libeskind on a napkin while dining at the ROM.;"A dramatic study in 'structural tension'; the way the aluminum and glass 'shards' intersect the original 1914 stone facade is a masterclass in architectural contrast.";Look for the glass explosion!;43.6677;-79.3948;Architecture;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1773983623/buildings-6_rzq70d.jpg
Two Bloor West;2 Bloor St W;BDP Quadrangle;A high-performance modernization of a prominent Yonge and Bloor intersection corner featuring vertical glass fins.;2022;Modernist, Glass, Adaptive Re-skinning;The renovation added a 'shimmer' to the intersection using high-performance glass fins that change appearance based on the viewer's angle.;A study in 'Adaptive Re-skinning.' The project replaced a dated facade with a curtain wall that adds a dynamic, contemporary layer to the Mink Mile.;The shimmering glass corner at Yonge and Bloor.;43.6701;-79.3861;Architecture;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776392760/bloor-yonge-1_stusul.jpg
TD Centre;66 Wellington St W;Ludwig Mies van der Rohe;"The global 'Gold Standard' of the International Style; a cluster of six black-painted steel and glass towers.";1967-1969;International Style, Miesian, Minimalist;Mies designed specific window blinds for the entire complex that only have three positions—open, closed, or halfway—to maintain a uniform facade.;'Less is More' in physical form. The external I-beam mullions guide the eye upward, serving as a masterpiece of geometric precision and material honesty.;Look for the black steel towers with the cows in the grass nearby.;43.6479;-79.3818;Architecture;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776399402/td-centre-2_dyspkr.jpg
TMU SLC;341 Yonge St;Snøhetta / Zeidler;A prismatic, glass-skinned building that serves as a digital-era gateway and student gathering hub on Yonge.;2015;Contemporary, Prismatic, Digital;"The building has no 'back'; all sides are covered in a complex glass skin with a digital frit pattern to control light.";The faceted blue ceiling in the lobby mimics a 'gathering space under a bridge,' creating a vibrant urban entry point.;Blue ceiling on Yonge Street!;43.6582;-79.3817;Architecture;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1773983622/buildings-2_hc2xzy.jpg
Mackenzie House;82 Bond St;Unknown;The final home of William Lyon Mackenzie, Toronto’s first mayor. A rare surviving mid-19th-century Georgian row house.;1858;Georgian, Symmetrical, Red-Brick;"Known as one of Toronto's most haunted sites; the printing press in the basement is said to click on its own at night.";A study in Architectural Persistence. The flat Georgian brickwork stands in sharp contrast to the high-tech glass of the TMU campus surrounding it.;The historic brick house tucked behind the modern campus.;43.6573;-79.3788;Architecture;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776400113/mackenzie-1_qxnshh.jpg
Old City Hall;60 Queen St W;E.J. Lennox;A Romanesque Revival masterpiece featuring a massive clock tower and detailed sandstone carvings.;1899;Romanesque Revival, Heritage, Sandstone;The architect secretly carved his own name into the stone eaves after being denied an official plaque.;A masterclass in late 19th-century civic pride. The weight of the sandstone and the intricate carvings project the permanence of city authority.;The clock tower at Queen and Bay.;43.6525;-79.3817;Architecture;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776400889/city-hall-3_a2odjz.jpg
Hockey Hall of Fame;30 Yonge St;Frank Darling / S. George Curry;Housed in a former Bank of Montreal branch, this ornate building is a pinnacle of late Victorian banking architecture.;1885;Neo-Classical, Victorian, Ornate;The building contains one of the most beautiful stained-glass domes in Canada, located in the Esso Great Hall.;The Corinthian columns and decorative stone pediments are designed to inspire awe and confidence—the architectural language of wealth and security.;Look for the ornate bank building at Yonge and Front.;43.647;-79.3776;Architecture;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1773983623/hockey_nycx9h.jpg
Brookfield Place (Allen Lambert Galleria);181 Bay St;Santiago Calatrava;A six-story high glass and steel pedestrian atrium known as the 'Crystal Cathedral of Commerce.';1992;High-Tech, Neo-Futuristic, Light;The design is meant to mimic the canopy of a forest, with white steel columns branching out into an intricate web of glass.;Note how the structure manages to feel organic despite its industrial materials. It is a 'Trace' of nature inserted into the Financial District.;The white forest of steel in the Financial District.;43.6473;-79.3792;Architecture;
Railway Museum (John Street Roundhouse);255 Bremner Blvd;Canadian Pacific Railway;An outdoor industrial gallery featuring the John Street Roundhouse, the primary repair hub for the Canadian Pacific Railway.;1929;Industrial, Heritage, Mechanical;The 'Roundhouse' was a functioning repair hub for steam locomotives, featuring a rotating turntable to move massive trains.;A mechanical 'Trace' of the steam era. Walking through the trains allows the reader to physically read the industrial history of Toronto.;Look for the steam engines across from the CN Tower.;43.6414;-79.3853;Architecture;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776400889/railway-1_xuhqig.jpg
Paupers Pub (Former Home Bank of Canada);539 Bloor St W;Hynes, Feldman & Watson;Originally built in 1911 as a branch for the Home Bank of Canada, this Edwardian Classical building features a striking red-brick facade.;1911;Edwardian Classical, Banking Architecture, Heritage;The 'snake symbol' is a Caduceus—a staff of Hermes, the patron of merchants, carved into the stone to represent prosperity and trade.;Institutional branding via stone. Massive columns and a heavy entablature project immovable security in early 20th-century banking.;Look for the staff of the merchants carved in stone above the patio.;43.6649;-79.4124;Architecture;https://res.cloudinary.com/dx3ccwjnz/image/upload/q_auto/f_auto/v1776397927/signage-02_klisl4.jpg
